"Referentiecode","ReferentieOmslagcode","Sortering","Referentienummer","Omschrijving (verkort)","Omschrijving","D/C","Nivo","ZZP-Belastingdienst pilot ZOL-AWA","Afrek syst","WoCo","BB","ZZP","Agro","WKR","EZ/VOF","BV","WoCo","Bank","OZW","Nivo5","Uitbr5"
"BIvaVoiCuhHer","","A.E.C020","0109030.02","Herwaarderingen","Herwaarderingen vooruitbetalingen op immateriële vaste activa","D","5","","","","","1","","","","","1","","","1",""
"BIvaVoiCuhAfh","","A.E.C030","0109030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen vooruitbetalingen op immateriële vaste activa","C","5","","","","","1","","","","","1","","","1",""
"BIvaVoiCuhDeh","","A.E.C040","0109030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen vooruitbetalingen op immateriële vaste activa","C","5","","","","","1","","","","","1","","","1",""
"BIvaBou","","A.K","0105000","Bouwclaims","Bouwclaims","D","3","","","1","","1","","","1","","","","","",""
"BIvaBouVvp","","A.K.A","0105010","Verkrijgings- of vervaardigingsprijs bouwclaims","Verkrijgings- of vervaardigingsprijs bouwclaims","D","4","","","1","","1","","","1","","","","","",""
"BIvaBouVvpBeg","","A.K.A010","0105010.01","Beginbalans bouwclaims","Beginbalans bouwclaims","D","5","","","1","1","1","","","1","","","","","1",""
"BIvaBouVvpInv","","A.K.A020","0105010.02","Investeringen bouwclaims","Investeringen bouwclaims","D","5","","","1","","1","","","1","","","","","1",""
"BIvaBouVvpAdo","","A.K.A030","0105010.03","Aankopen door overnames bouwclaims","Aankopen door overnames bouwclaims","D","5","","","1","","1","","","1","","","","","1",""
"BIvaBouVvpDes","","A.K.A040","0105010.04","Desinvesteringen bouwclaims","Desinvesteringen bouwclaims","C","5","","","1","","1","","","1","","","","","1",""
"BIvaBouVvpDda","","A.K.A050","0105010.05","Desinvesteringen door afstotingen bouwclaims","Desinvesteringen door afstotingen bouwclaims","C","5","","","1","","1","","","1","","","","","1",""
"BIvaBouVvpOmv","","A.K.A080","0105010.06","Omrekeningsverschillen bouwclaims","Omrekeningsverschillen bouwclaims","D","5","","","1","","1","","","1","","","","","1",""
"BIvaBouVvpOvm","","A.K.A090","0105010.07","Overige mutaties bouwclaims","Overige mutaties bouwclaims","D","5","","","1","","1","","","1","","","","","1",""
"BIvaBouCae","","A.K.B","0105020","Cumulatieve afschrijvingen en waardeverminderingen bouwclaims","Cumulatieve afschrijvingen en waardeverminderingen bouwclaims","C","4","","","1","","1","","","1","","","","","",""
"BIvaBouCaeBeg","","A.K.B010","0105020.01","Beginbalans bouwclaims","Beginbalans bouwclaims","C","5","","","1","1","1","","","1","","","","","1",""
"BIvaBouCaeAfs","","A.K.B020","0105020.02","Afschrijvingen bouwclaims","Afschrijvingen bouwclaims","C","5","","","1","","1","","","1","","","","","1",""
"BIvaBouCaeDca","","A.K.B030","0105020.03","Desinvestering cumulatieve afschrijvingen en waardeverminderingen bouwclaims","Desinvestering cumulatieve afschrijvingen en waardeverminderingen bouwclaims","D","5","","","1","","1","","","1","","","","","1",""
"BIvaBouCaeWvr","","A.K.B040","0105020.04","Waardeverminderingen bouwclaims","Waardeverminderingen bouwclaims","C","5","","","1","","1","","","1","","","","","1",""
"BIvaBouCaeTvw","","A.K.B050","0105020.05","Terugneming van waardeverminderingen bouwclaims","Terugneming van waardeverminderingen bouwclaims","D","5","","","1","","1","","","1","","","","","1",""
"BIvaBouCuh","","A.K.C","0105030","Cumulatieve herwaarderingen bouwclaims","Cumulatieve herwaarderingen bouwclaims","D","4","","","1","","1","","","1","","","","","",""
"BIvaBouCuhBeg","","A.K.C010","0105030.01","Beginbalans bouwclaims","Beginbalans bouwclaims","D","5","","","1","1","1","","","1","","","","","1",""
"BIvaBouCuhHer","","A.K.C020","0105030.02","Herwaarderingen bouwclaims","Herwaarderingen bouwclaims","D","5","","","1","","1","","","1","","","","","1",""
"BIvaBouCuhAfh","","A.K.C030","0105030.03","Afschrijving herwaarderingen bouwclaims","Afschrijving herwaarderingen bouwclaims","C","5","","","1","","1","","","1","","","","","1",""
"BIvaBouCuhDeh","","A.K.C040","0105030.04","Desinvestering herwaarderingen bouwclaims","Desinvestering herwaarderingen bouwclaims","C","5","","","1","","1","","","1","","","","","1",""
"BIvaOiv","","A.Z","0110000","Overige immateriële vaste activa","Overige immateriële vaste activa","D","3","","","1",""," ","","","","","","","","",""
"BIvaOivVvp","","A.Z.A","0110010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs overige immateriële vaste activa","D","4","","","1",""," ","","","","","","","","",""
"BIvaOivVvpBeg","","A.Z.A010","0110010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) overige immateriële vaste activa","D","5","","","1","1","1","","","","","","","","1",""
"BIvaOivVvpInv","","A.Z.A020","0110010.02","Investeringen","Investeringen overige immateriële vaste activa","D","5","","","1","","1","","","","","","","","1",""
"BIvaOivVvpAdo","","A.Z.A030","0110010.03","Bij overname verkregen activa","Bij overname verkregen activa overige immateriële vaste activa","D","5","","","1","","1","","","","","","","","1",""
"BIvaOivVvpDes","","A.Z.A040","0110010.04","Desinvesteringen","Desinvesteringen overige immateriële vaste activa","C","5","","","1","","1","","","","","","","","1",""
"BIvaOivVvpDda","","A.Z.A050","0110010.05","Afstotingen","Afstotingen overige immateriële vaste activa","C","5","","","1","","1","","","","","","","","1",""
"BIvaOivVvpOmv","","A.Z.A080","0110010.06","Omrekeningsverschillen","Omrekeningsverschillen overige immateriële vaste activa","D","5","","","1","","1","","","","","","","","1",""
"BIvaOivVvpOvm","","A.Z.A090","0110010.07","Overige mutaties","Overige mutaties overige immateriële vaste activa","D","5","","","1","","1","","","","","","","","1",""
"BIvaOivCae","","A.Z.B","0110020","Cumulatieve afschrijvingen en waardeverminderingen","Cumulatieve afschrijvingen en waardeverminderingen overige immateriële vaste activa","C","4","","","1",""," ","","","","","","","","",""
"BIvaOivCaeBeg","","A.Z.B010","0110020.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) overige immateriële vaste activa","C","5","","","1","1","1","","","","","","","","1",""
"BIvaOivCaeAfs","","A.Z.B020","0110020.02","Afschrijvingen","Afschrijvingen overige immateriële vaste activa","C","5","","","1","","1","","","","","","","","1",""
"BIvaOivCaeDca","","A.Z.B030","0110020.03","Afschrijving op desinvesteringen","Afschrijving op desinvesteringen overige immateriële vaste activa","D","5","","","1","","1","","","","","","","","1",""
"BIvaOivCaeWvr","","A.Z.B040","0110020.04","Bijzondere waardeverminderingen","Bijzondere waardeverminderingen overige immateriële vaste activa","C","5","","","1","","1","","","","","","","","1",""
"BIvaOivCaeTvw","","A.Z.B050","0110020.05","Terugneming van bijzondere waardeverminderingen","Terugneming van bijzondere waardeverminderingen overige immateriële vaste activa","D","5","","","1","","1","","","","","","","","1",""
"BIvaOivCuh","","A.Z.C","0110030","Cumulatieve herwaarderingen","Cumulatieve herwaarderingen overige immateriële vaste activa","D","4","","","1",""," ","","","","","","","","",""
"BIvaOivCuhBeg","","A.Z.C010","0110030.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) overige immateriële vaste activa","D","5","","","1","1","1","","","1","","","","","1",""
"BIvaOivCuhHer","","A.Z.C020","0110030.02","Herwaarderingen","Herwaarderingen overige immateriële vaste activa","D","5","","","1","","1","","","1","","","","","1",""
"BIvaOivCuhAfh","","A.Z.C030","0110030.03","Afschrijving herwaarderingen","Afschrijving herwaarderingen overige immateriële vaste activa","C","5","","","1","","1","","","","","","","","1",""
"BIvaOivCuhDeh","","A.Z.C040","0110030.04","Desinvestering herwaarderingen","Desinvestering herwaarderingen overige immateriële vaste activa","C","5","","","1","","1","","","","","","","","1",""
"BMva","","B","02","Materiële vaste activa","Materiële vaste activa","D","2","1","","1",""," ","","","","","","","","",""
"BMvaTer","","B.A","0201000","Terreinen","Terreinen","D","3","","","1","","1","","","","","","","","",""
"BMvaTerVvp","","B.A.A","0201010","Verkrijgings- of vervaardigingsprijs","Verkrijgings- of vervaardigingsprijs terreinen","D","4","","","1","","1","","","","","","","","",""
"BMvaTerVvpBeg","","B.A.A010","0201010.01","Beginbalans (overname eindsaldo vorig jaar)","Beginbalans (overname eindsaldo vorig jaar) terreinen","D","5","","","1","1","1","","","","","","","","1",""
"BMvaTerVvpIna","","B.A.A020","0201010.02","Investeringen","Investeringen terreinen","D","5","","","1","","1","","","","","","","","1",""
"BMvaTerVvpAdo","","B.A.A030","0201010.04","Verwervingen via fusies en overnames","Verwervingen via fusies en overnames terreinen","D","5","","","1","","1","","","","","","","","1",""
